cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
KR,410,KOR,KOR,True,Asia,False,100210.0,51780579,KOR,officially-assigned,True,Eastern Asia
BZ,084,BLZ,BIZ,True,Americas,False,22966.0,397621,BLZ,officially-assigned,True,Central America
RE,638,REU,,False,Africa,False,2511.0,840974,,officially-assigned,False,Eastern Africa
MX,484,MEX,MEX,True,Americas,False,1964375.0,128932753,MEX,officially-assigned,True,North America
VI,850,VIR,ISV,False,Americas,False,347.0,106290,VIR,officially-assigned,False,Caribbean
RS,688,SRB,SRB,True,Europe,True,88361.0,6908224,SRB,officially-assigned,True,Southeast Europe
UM,581,UMI,,False,Americas,False,34.2,300,,officially-assigned,False,North America
CV,132,CPV,CPV,True,Africa,False,4033.0,555988,CPV,officially-assigned,True,Western Africa
KH,116,KHM,CAM,True,Asia,False,181035.0,16718971,CAM,officially-assigned,True,South-Eastern Asia
RO,642,ROU,ROU,True,Europe,False,238391.0,19286123,ROU,officially-assigned,True,Southeast Europe
HU,348,HUN,HUN,True,Europe,True,93028.0,9749763,HUN,officially-assigned,True,Central Europe
MH,584,MHL,MHL,True,Oceania,False,181.0,59194,,officially-assigned,True,Micronesia
SO,706,SOM,SOM,True,Africa,False,637657.0,15893219,SOM,officially-assigned,True,Eastern Africa
AL,008,ALB,ALB,True,Europe,False,28748.0,2837743,ALB,officially-assigned,True,Southeast Europe
PF,258,PYF,,False,Oceania,False,4167.0,280904,,officially-assigned,False,Polynesia
BI,108,BDI,BDI,True,Africa,True,27834.0,11890781,BDI,officially-assigned,True,Eastern Africa
CF,140,CAF,CAF,True,Africa,True,622984.0,4829764,CTA,officially-assigned,True,Middle Africa
GF,254,GUF,,False,Americas,False,83534.0,254541,,officially-assigned,False,South America
AS,016,ASM,ASA,False,Oceania,False,199.0,55197,ASA,officially-assigned,False,Polynesia
LC,662,LCA,LCA,True,Americas,False,616.0,183629,LCA,officially-assigned,True,Caribbean
UG,800,UGA,UGA,True,Africa,True,241550.0,45741000,UGA,officially-assigned,True,Eastern Africa
HN,340,HND,HON,True,Americas,False,112492.0,9904608,HON,officially-assigned,True,Central America
KZ,398,KAZ,KAZ,True,Asia,True,2724900.0,18754440,KAZ,officially-assigned,True,Central Asia
KE,404,KEN,KEN,True,Africa,False,580367.0,53771300,KEN,officially-assigned,True,Eastern Africa
WS,882,WSM,SAM,True,Oceania,False,2842.0,198410,SAM,officially-assigned,True,Polynesia
NP,524,NPL,NEP,True,Asia,True,147181.0,29136808,NEP,officially-assigned,True,Southern Asia
GQ,226,GNQ,GEQ,True,Africa,False,28051.0,1402985,EQG,officially-assigned,True,Middle Africa
LB,422,LBN,LBN,True,Asia,False,10452.0,6825442,LBN,officially-assigned,True,Western Asia
MU,480,MUS,MRI,True,Africa,False,2040.0,1265740,MRI,officially-assigned,True,Eastern Africa
LI,438,LIE,LIE,True,Europe,True,160.0,38137,LIE,officially-assigned,True,Western Europe
KY,136,CYM,CAY,False,Americas,False,264.0,65720,CAY,officially-assigned,False,Caribbean
AI,660,AIA,,False,Americas,False,91.0,13452,AIA,officially-assigned,False,Caribbean
GP,312,GLP,,False,Americas,False,1628.0,400132,,officially-assigned,False,Caribbean
AT,040,AUT,AUT,True,Europe,True,83871.0,8917205,AUT,officially-assigned,True,Central Europe
NL,528,NLD,NED,True,Europe,False,41850.0,16655799,NED,officially-assigned,True,Western Europe
SJ,744,SJM,,False,Europe,False,61399.0,2562,,officially-assigned,False,Northern Europe
SG,702,SGP,SGP,True,Asia,False,710.0,5685807,SIN,officially-assigned,True,South-Eastern Asia
LR,430,LBR,LBR,True,Africa,False,111369.0,5057677,LBR,officially-assigned,True,Western Africa
